Moderate,,,,,,Critical,,,
Tim3_CTL (scale),Tim3_CD4/Treg (scale),PDCD1_CD4/Treg (scale),PDCD1_CTL (scale),,,Tim3_CTL (scale),Tim3_CD4/Treg (scale),PDCD1_CTL(scale),PDCD1_Treg (scale)
0,0,0,0,,,0,0,0,1.401186681
0,0,0,0,,,0,0,0,1.046018165
0,0,0,0,,,0,2.121969603,1.205735433,2.109509219
0,0,0,0,,,1.752143843,0,0,0
0,0,0,0,,,0,0,0,0.840557113
0,0,1.150470458,0,,,0,0,1.847258414,0.96991376
0,0,1.01871089,0,,,0,1.31193005,0,0
0,1.187583233,0,0,,,0,0,0,0
0,0,0,0,,,0,0,0,0
1.191974506,0,0,0,,,0,0,2.702472255,2.110921178
0,0,0,0,,,0,0,0,0
0,0,0,0,,,0,2.297655016,0,0.819871848
0,0,1.357129301,1.397956742,,,1.677460169,0,0,0
0,0,0,0,,,0,0,0.7517133,0.964174167
0,0,0,0,,,0,0,0,1.71107611
0,0,1.089987177,0,,,0,1.549499999,0.737044605,1.88443691
1.587407124,1.318683408,0,0,,,0,0,0,0
0,0,0,0,,,0.876393573,2.727426647,1.672517175,0
0,0,0,2.02537432,,,0,0,0,0
1.643685399,0,0,0,,,0,0,0,0
1.069358326,0,0,0,,,0,0,0,0
0,0,0,1.068604864,,,0,1.09130984,0,0
0,0,0.84530671,0,,,0,0,0,0
1.187402203,1.171325507,0,0,,,0,0,0,0
0,0,0,0,,,0,0,0,1.722567249
0,0,0,1.199007368,,,2.460862245,0,0,0
0,0,0.877597688,0,,,0,0,0,0
0,0,0,0,,,0,0,0,0
0,0,0,0,,,0,0,0,1.341045135
0,0,0,0,,,0,0,0,0
0,0,0,0,,,0.778976318,0,0,0
0,0,1.654645306,0,,,0,0,0.957230505,0
0,0,0,0,,,0,0,0,1.110485167
0,0,0,0,,,0,0,0.858156219,1.651496222
0,0,0,0,,,0,0,0.687713688,0
0,1.060363348,0,0,,,0,0,0.750214574,0
0,0,0,0,,,0,0,0,0
0,0,0,0,,,0,0,0,0
0,0,0,0,,,0,0,0,0
0,0,0,0,,,0,0,0,1.051682865
0,0,0,0,,,1.36760281,0,0,0
0,0,1.258658743,0,,,0,0,2.482047244,0
0,0,0,0,,,0,0,0,0
0,1.108512024,0,0,,,0,0,1.40151721,0
0,0,0,0,,,0,0,0,0
0,0,0,0,,,0,1.527862395,0,1.531169483
0,0,0,0,,,0,0,0.831311562,0
0,0,0,0,,,1.79828832,0,0,0
0,0,0,0,,,0,0,0,0
0,0,0,0,,,0.805575901,0,1.334501652,0
0,0,0,0,,,0,0,0,0
0,0,0,0,,,0,0,0,0
0,0,0,0,,,0,0,0,1.282885811
0,0,0,0,,,0,0,0,0
0,0,1.988449845,0,,,0,0,0,0
0,0,1.49585008,0,,,0,0,0,0.891490377
1.058474649,0,0,0,,,0,0,0.761699849,0
0,0,0,0,,,0,0,0.759385404,0
0,1.193830908,0,0,,,0,0,1.242277405,0
0,0,0,0,,,0,0,0,0.483495636
0,0,0,0,,,0,0,0,1.355291507
0,0,0,0,,,1.208705466,0,0,0
0,0,0,0,,,0,0,1.03373174,0
0,0,0,0,,,0,0.664782087,0,0
0,0,0,0,,,0.872383568,0,0,0
0,0,1.198508983,0,,,2.623168563,0,0,0
0,0,0,1.231970735,,,0,0,0,0
0,0,0,0,,,0,0,0,0.962221701
0,0,1.207424767,1.387104812,,,0,0.840818833,0.877288899,0.840641277
1.350756744,0,0,0,,,2.985578599,0,1.300289146,0
0,0,0,0,,,0,0,0,0
0,0,0,0,,,0,0.816797766,0,0
1.810378373,0,0,0,,,0,0,0,0
0,0,0,0,,,0,0,0,0
0,0,0,0,,,0,0,1.632129157,0
0,0,0,0,,,0,1.021029072,0,0
0,0,0,0,,,0,0,0,0.706614561
0,0,0,0,,,0,0.333814846,0,0.954229392
0,0,0.935008685,0,,,2.029433993,0,0,0
0,0,0,0,,,1.585290157,0,0.39681078,0
0,0,0,0,,,0,0,0,0
0,0.819246952,0.82446394,0,,,0,0,0.649611565,0
0,0,0,0,,,0,0,0.657004408,0
0,0,0,0,,,0,0,0,2.126388407
0,0,0,0,,,0,0,0.890561849,0
0,0,0,0,,,0,2.318630789,0,0.761602908
0,0,0,0,,,0,0,0,0
0.892699419,0,0,0,,,0,2.469070923,0,0
0,0,0,0,,,0,0,0.842434135,0.853163762
0,0,0,0,,,0,0,0.834588456,0
0,0,0,0,,,0,0,0,0
0,0,0,0,,,0,0,0,0
0,0,1.603370367,0,,,0,0,0,1.930966538
